iter	Passed	Remaining
0	0	97
1	2	145
2	4	145
3	6	152
4	8	161
5	9	155
6	11	156
7	13	154
8	15	152
9	17	155
10	18	152
11	20	148
12	21	142
13	22	140
14	24	138
15	25	135
16	27	135
17	29	134
18	30	130
19	32	131
20	34	128
21	35	127
22	37	124
23	38	122
24	40	121
25	42	120
26	43	117
27	45	117
28	47	116
29	48	113
30	50	111
31	51	108
32	52	106
33	53	103
34	54	101
35	56	99
36	57	97
37	59	96
38	60	94
39	61	92
40	63	91
41	65	90
42	67	89
43	67	86
44	69	84
45	70	83
46	72	81
47	74	80
48	76	79
49	77	77
50	79	76
51	80	74
52	82	72
53	83	71
54	85	69
55	86	68
56	88	66
57	89	65
58	91	63
59	93	62
60	94	60
61	96	59
62	98	57
63	99	55
64	100	54
65	102	52
66	103	51
67	105	49
68	106	47
69	108	46
70	109	44
71	110	42
72	111	41
73	112	39
74	114	38
75	115	36
76	117	34
77	118	33
78	119	31
79	120	30
80	121	28
81	122	26
82	123	25
83	124	23
84	126	22
85	127	20
86	128	19
87	129	17
88	131	16
89	132	14
90	133	13
91	134	11
92	135	10
93	136	8
94	137	7
95	139	5
96	140	4
97	141	2
98	142	1
99	143	0
